test_idx,degree,format,learning_rate,max_iter,cycles,hw_loss,golden_loss,max_abs_err_vs_golden,mean_abs_err_vs_golden,max_abs_err_vs_true,mean_abs_err_vs_true,true_0,golden_0,hw_0,abs_err_vs_golden_0,abs_err_vs_true_0,true_1,golden_1,hw_1,abs_err_vs_golden_1,abs_err_vs_true_1,true_2,golden_2,hw_2,abs_err_vs_golden_2,abs_err_vs_true_2,true_3,golden_3,hw_3,abs_err_vs_golden_3,abs_err_vs_true_3
64,3,FP32,1.000000e-02,900,1974092,1.978034e-01,7.502999e-02,5.2578e-01,3.0441e-01,5.8730e-01,3.6358e-01,2.61692864,2.49142074,2.13070083,3.6072e-01,4.8623e-01,1.17617878,1.23769762,1.76347411,5.2578e-01,5.8730e-01,0.42036702,0.45673375,0.57489496,1.1816e-01,1.5453e-01,-2.41694104,-2.43021739,-2.64321566,2.1300e-01,2.2627e-01
64,3,FP16,1.000000e-02,900,1974092,2.049690e-01,7.502999e-02,4.6933e-01,3.0947e-01,5.5443e-01,3.6863e-01,2.61692864,2.49142074,2.06250000,4.2892e-01,5.5443e-01,1.17617878,1.23769762,1.70703125,4.6933e-01,5.3085e-01,0.42036702,0.45673375,0.60937500,1.5264e-01,1.8901e-01,-2.41694104,-2.43021739,-2.61718750,1.8697e-01,2.0025e-01
64,3,FP16ALT,1.000000e-02,900,1974092,2.980544e-01,7.502999e-02,6.3986e-01,3.2409e-01,7.6537e-01,3.4586e-01,2.61692864,2.49142074,1.85156250,6.3986e-01,7.6537e-01,1.17617878,1.23769762,1.00000000,2.3770e-01,1.7618e-01,0.42036702,0.45673375,0.75781250,3.0108e-01,3.3745e-01,-2.41694104,-2.43021739,-2.31250000,1.1772e-01,1.0444e-01
65,3,FP64,1.000000e-02,900,1974092,1.595402e-01,7.876909e-02,3.8248e-01,2.1010e-01,5.4697e-01,2.5453e-01,0.69004336,0.65476466,0.88783646,2.3307e-01,1.9779e-01,2.94032310,2.77582561,2.39334849,3.8248e-01,5.4697e-01,-2.15949591,-2.13986816,-2.20518217,6.5314e-02,4.5686e-02,0.10997791,0.17809747,0.33763976,1.5954e-01,2.2766e-01
65,3,FP32,1.000000e-02,900,1974092,1.595396e-01,7.876909e-02,3.8248e-01,2.1010e-01,5.4697e-01,2.5453e-01,0.69004336,0.65476466,0.88783604,2.3307e-01,1.9779e-01,2.94032310,2.77582561,2.39335012,3.8248e-01,5.4697e-01,-2.15949591,-2.13986816,-2.20518208,6.5314e-02,4.5686e-02,0.10997791,0.17809747,0.33763906,1.5954e-01,2.2766e-01
65,3,FP16,1.000000e-02,900,1974092,2.027935e-01,7.876909e-02,5.6684e-01,2.4551e-01,7.3134e-01,2.9059e-01,0.69004336,0.65476466,0.82373047,1.6897e-01,1.3369e-01,2.94032310,2.77582561,2.20898438,5.6684e-01,7.3134e-01,-2.15949591,-2.13986816,-2.15820312,1.8335e-02,1.2928e-03,0.10997791,0.17809747,0.40600586,2.2791e-01,2.9603e-01
65,3,FP16ALT,1.000000e-02,900,1974092,4.327680e-01,7.876909e-02,1.0258e+00,4.3696e-01,1.1903e+00,5.0884e-01,0.69004336,0.65476466,0.50781250,1.4695e-01,1.8223e-01,2.94032310,2.77582561,1.75000000,1.0258e+00,1.1903e+00,-2.15949591,-2.13986816,-1.96875000,1.7112e-01,1.9075e-01,0.10997791,0.17809747,0.58203125,4.0393e-01,4.7205e-01
66,3,FP64,1.000000e-02,900,1974092,2.163673e-01,9.075933e-02,6.0442e-01,2.9874e-01,6.6826e-01,3.0790e-01,2.26423843,2.29059797,2.01686261,2.7374e-01,2.4738e-01,1.44461171,1.50845152,2.11287450,6.0442e-01,6.6826e-01,1.18209445,1.17618288,1.25174322,7.5560e-02,6.9649e-02,1.21490450,1.20982688,0.96857867,2.4125e-01,2.4633e-01
66,3,FP32,1.000000e-02,900,1974092,2.163669e-01,9.075933e-02,6.0442e-01,2.9874e-01,6.6826e-01,3.0790e-01,2.26423843,2.29059797,2.01686263,2.7374e-01,2.4738e-01,1.44461171,1.50845152,2.11287332,6.0442e-01,6.6826e-01,1.18209445,1.17618288,1.25174332,7.5560e-02,6.9649e-02,1.21490450,1.20982688,0.96857917,2.4125e-01,2.4633e-01
66,3,FP16,1.000000e-02,900,1974092,2.777161e-01,9.075933e-02,6.9467e-01,3.7179e-01,7.5851e-01,3.8096e-01,2.26423843,2.29059797,1.89941406,3.9118e-01,3.6482e-01,1.44461171,1.50845152,2.20312500,6.9467e-01,7.5851e-01,1.18209445,1.17618288,1.30273438,1.2655e-01,1.2064e-01,1.21490450,1.20982688,0.93505859,2.7477e-01,2.7985e-01
